t,velL,velR,velL_sp,velR_sp,mL,mR,rawL,rawR
1379.278357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.280357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.282357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.284357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.286357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.288367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.290357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.292367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.294357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.296367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.298357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.300367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.302357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.304367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.306357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.308367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.310357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.312367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.314357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.316367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.318357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.320367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.322357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.324367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.326357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.328367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.330357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.332367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.334357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.336369,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.338378,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.340602,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.342383,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.344359,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.346373,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.348383,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.350373,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.352367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.354357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.356367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.358357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.360358,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.362358,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.364357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.366359,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.368366,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.370358,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
