t,velL,velR,velL_sp,velR_sp,mL,mR,uL,uR
248.712640,0.000000,0.000000,,,0.000000,0.000000,,
248.717640,0.000000,0.000000,,,0.000000,0.000000,,
248.722640,0.000000,0.000000,,,0.000000,0.000000,,
248.727640,0.000000,0.000000,,,0.000000,0.000000,,
248.732640,0.000000,0.000000,,,0.000000,0.000000,,
248.737640,0.000000,0.000000,,,0.000000,0.000000,,
248.742640,0.000000,0.000000,,,0.000000,0.000000,,
248.747640,0.000000,0.000000,,,0.000000,0.000000,,
248.752640,0.000000,0.000000,,,0.000000,0.000000,,
248.757640,0.000000,0.000000,,,0.000000,0.000000,,
248.762640,0.000000,0.000000,,,0.000000,0.000000,,
248.767640,0.000000,0.000000,,,0.000000,0.000000,,
248.772640,0.000000,0.000000,,,0.000000,0.000000,,
248.777640,0.000000,0.000000,,,0.000000,0.000000,,
248.782640,0.000000,0.000000,,,0.000000,0.000000,,
248.787640,0.000000,0.000000,,,0.000000,0.000000,,
248.792640,0.000000,0.000000,,,0.000000,0.000000,,
248.797640,0.000000,0.000000,,,0.000000,0.000000,,
248.802640,0.000000,0.000000,,,0.000000,0.000000,,
248.807640,0.000000,0.000000,,,0.000000,0.000000,,
248.812640,0.000000,0.000000,,,0.000000,0.000000,,
248.817640,0.000000,0.000000,,,0.000000,0.000000,,
248.822640,0.000000,0.000000,,,0.000000,0.000000,,
248.827644,0.000000,0.000000,,,0.000000,0.000000,,
248.832662,0.000000,0.000000,,,0.000000,0.000000,,
248.837645,0.000000,0.000000,,,0.000000,0.000000,,
248.842642,0.000000,0.000000,,,0.300000,0.300000,,
248.847641,0.000000,0.000000,,,0.300000,0.300000,,
248.852656,0.314159,0.314159,,,0.300000,0.300000,,
248.857681,0.314159,0.628319,,,0.300000,0.300000,,
248.862642,0.947238,0.947238,,,0.300000,0.300000,,
248.867642,0.951998,1.266157,,,0.300000,0.300000,,
248.872673,1.903996,1.585076,,,0.300000,0.300000,,
248.877663,1.899236,2.218155,,,0.300000,0.300000,,
248.882688,2.213395,2.213395,,,0.300000,0.300000,,
248.887671,2.218155,2.537074,,,0.300000,0.300000,,
248.892640,2.541834,2.222915,,,0.300000,0.300000,,
248.897640,2.860753,2.546594,,,0.300000,0.300000,,
248.902640,2.860753,2.541834,,,0.300000,0.300000,,
248.907640,2.855993,3.170153,,,0.300000,0.300000,,
248.912640,3.170153,3.170153,,,0.300000,0.300000,,
248.917640,3.489072,3.170153,,,0.300000,0.300000,,
248.922640,3.807991,3.170153,,,0.300000,0.300000,,
248.927640,3.807991,3.489072,,,0.300000,0.300000,,
248.932640,3.807991,3.489072,,,0.300000,0.300000,,
248.937640,3.807991,3.489072,,,0.300000,0.300000,,
248.942640,3.807991,3.489072,,,0.300000,0.300000,,
248.947640,4.122150,3.489072,,,0.300000,0.300000,,
248.952640,4.122150,3.489072,,,0.300000,0.300000,,
248.957640,4.441070,3.489072,,,0.300000,0.300000,,
248.962640,4.441070,3.807991,,,0.300000,0.300000,,
248.967640,4.755229,3.807991,,,0.300000,0.300000,,
248.972640,4.755229,3.807991,,,0.300000,0.300000,,
248.977640,4.755229,3.807991,,,0.300000,0.300000,,
248.982640,4.755229,3.807991,,,0.300000,0.300000,,
248.987642,4.755229,3.803231,,,0.300000,0.300000,,
248.992640,4.755229,3.807991,,,0.300000,0.300000,,
248.997640,5.074148,3.807991,,,0.300000,0.300000,,
249.002640,5.074148,4.122150,,,0.300000,0.300000,,
249.007672,5.378788,4.112630,,,0.300000,0.300000,,
249.012676,5.378788,4.112630,,,0.300000,0.300000,,
249.017648,5.388308,3.803231,,,0.300000,0.300000,,
249.022640,5.402587,3.812751,,,0.300000,0.300000,,
249.027640,5.407347,4.131670,,,0.300000,0.300000,,
249.032640,5.711987,4.126910,,,0.300000,0.300000,,
249.037640,5.393067,4.122150,,,0.300000,0.300000,,
249.042640,5.711987,3.807991,,,0.300000,0.300000,,
249.047640,5.711987,4.122150,,,0.300000,0.300000,,
249.052640,6.026146,4.122150,,,0.300000,0.300000,,
249.057640,5.711987,4.122150,,,0.300000,0.300000,,
249.062640,5.711987,4.122150,,,0.300000,0.300000,,
249.067640,5.711987,4.122150,,,0.300000,0.300000,,
249.072640,5.711987,4.441070,,,0.300000,0.300000,,
249.077640,5.711987,4.122150,,,0.300000,0.300000,,
249.082640,6.026146,4.441070,,,0.300000,0.300000,,
249.087640,6.026146,4.122150,,,0.300000,0.300000,,
249.092640,6.345065,4.122150,,,0.300000,0.300000,,
249.097640,6.026146,4.122150,,,0.300000,0.300000,,
249.102640,6.345065,4.122150,,,0.300000,0.300000,,
249.107640,6.026146,4.441070,,,0.300000,0.300000,,
249.112640,6.345065,4.122150,,,0.300000,0.300000,,
249.117640,6.026146,4.441070,,,0.300000,0.300000,,
249.122640,6.345065,4.441070,,,0.300000,0.300000,,
249.127640,6.026146,4.441070,,,0.300000,0.300000,,
249.132640,6.345065,4.441070,,,0.300000,0.300000,,
249.137640,6.345065,4.441070,,,0.300000,0.300000,,
249.142640,6.663984,4.441070,,,0.300000,0.300000,,
249.147640,6.345065,4.441070,,,0.300000,0.300000,,
249.152640,6.345065,4.441070,,,0.300000,0.300000,,
249.157640,6.345065,4.441070,,,0.300000,0.300000,,
249.162640,6.345065,4.441070,,,0.300000,0.300000,,
249.167640,6.345065,4.441070,,,0.300000,0.300000,,
249.172640,6.345065,4.755229,,,0.300000,0.300000,,
249.177640,6.663984,4.755229,,,0.300000,0.300000,,
249.182640,6.663984,4.441070,,,0.300000,0.300000,,
249.187640,6.663984,4.441070,,,0.300000,0.300000,,
249.192640,6.663984,4.441070,,,0.300000,0.300000,,
249.197640,6.663984,4.755229,,,0.300000,0.300000,,
249.202640,6.663984,4.755229,,,0.300000,0.300000,,
249.207640,6.663984,4.441070,,,0.300000,0.300000,,
249.212640,6.663984,4.441070,,,0.300000,0.300000,,
249.217640,6.663984,4.441070,,,0.300000,0.300000,,
249.222640,6.663984,4.755229,,,0.300000,0.300000,,
249.227640,6.663984,4.755229,,,0.300000,0.300000,,
249.232640,6.663984,4.755229,,,0.300000,0.300000,,
249.237640,6.663984,4.755229,,,0.300000,0.300000,,
249.242640,6.663984,4.755229,,,0.300000,0.300000,,
249.247640,6.663984,4.755229,,,0.300000,0.300000,,
249.252640,6.663984,4.755229,,,0.300000,0.300000,,
249.257640,6.663984,4.755229,,,0.300000,0.300000,,
249.262640,6.663984,4.755229,,,0.300000,0.300000,,
249.267640,6.978144,4.755229,,,0.300000,0.300000,,
249.272640,6.978144,4.755229,,,0.300000,0.300000,,
249.277640,6.978144,4.755229,,,0.300000,0.300000,,
249.282640,6.663984,4.755229,,,0.300000,0.300000,,
249.287640,6.663984,4.755229,,,0.300000,0.300000,,
249.292640,6.978144,4.755229,,,0.300000,0.300000,,
249.297640,6.978144,5.074148,,,0.300000,0.300000,,
249.302640,6.978144,5.074148,,,0.300000,0.300000,,
249.307640,6.663984,5.074148,,,0.300000,0.300000,,
249.312640,6.978144,4.755229,,,0.300000,0.300000,,
249.317640,6.978144,4.755229,,,0.300000,0.300000,,
249.322640,6.978144,4.755229,,,0.300000,0.300000,,
249.327640,6.663984,5.074148,,,0.300000,0.300000,,
249.332644,6.978144,5.074148,,,0.300000,0.300000,,
249.337643,6.978144,5.074148,,,0.300000,0.300000,,
249.342664,7.282783,4.750469,,,0.300000,0.300000,,
