t,velL,velR,velL_sp,velR_sp,mL,mR
2604.079956,31.415926,-31.415926,,,1.000000,1.000000
2604.084956,30.463928,-31.415926,,,1.000000,1.000000
2604.089956,31.415926,-30.463928,,,1.000000,1.000000
2604.094956,31.415926,-31.415926,,,1.000000,1.000000
2604.099956,31.415926,-31.415926,,,1.000000,1.000000
2604.104956,31.415926,-31.415926,,,1.000000,1.000000
2604.109956,31.415926,-30.463928,,,1.000000,1.000000
2604.114956,30.463928,-31.415926,,,1.000000,1.000000
2604.119956,31.415926,-31.415926,,,1.000000,1.000000
2604.124956,31.415926,-31.415926,,,1.000000,1.000000
2604.129956,31.415926,-31.415926,,,1.000000,1.000000
2604.134956,31.415926,-30.463928,,,1.000000,1.000000
2604.139956,31.415926,-31.415926,,,1.000000,1.000000
2604.144956,31.415926,-31.415926,,,1.000000,1.000000
2604.149956,31.415926,-31.415926,,,1.000000,1.000000
2604.154956,31.415926,-31.415926,,,1.000000,1.000000
2604.159956,30.463928,-30.463928,,,1.000000,1.000000
2604.164956,32.367924,-31.415926,,,1.000000,1.000000
2604.169956,30.463928,-31.415926,,,1.000000,1.000000
2604.174956,32.367924,-31.415926,,,1.000000,1.000000
2604.179956,30.463928,-31.415926,,,1.000000,1.000000
2604.184956,32.367924,-30.463928,,,1.000000,1.000000
2604.189956,30.463928,-31.415926,,,1.000000,1.000000
2604.194956,32.367924,-31.415926,,,1.000000,1.000000
2604.199956,30.463928,-31.415926,,,1.000000,1.000000
2604.204956,32.367924,-31.415926,,,1.000000,1.000000
2604.209956,31.415926,-30.463928,,,1.000000,1.000000
2604.214956,31.415926,-31.415926,,,1.000000,1.000000
2604.219956,31.415926,-31.415926,,,1.000000,1.000000
2604.224956,31.415926,-31.415926,,,1.000000,1.000000
2604.229956,31.415926,-31.415926,,,1.000000,1.000000
2604.234956,31.415926,-31.415926,,,1.000000,1.000000
2604.239956,31.415926,-30.463928,,,1.000000,1.000000
2604.244956,31.415926,-31.415926,,,1.000000,1.000000
2604.249956,31.415926,-31.415926,,,1.000000,1.000000
2604.254956,31.415926,-31.415926,,,1.000000,1.000000
2604.259956,31.415926,-31.415926,,,1.000000,1.000000
2604.264956,31.415926,-31.415926,,,1.000000,1.000000
2604.269956,32.367924,-31.415926,,,1.000000,1.000000
2604.274956,31.415926,-31.415926,,,1.000000,1.000000
2604.279956,31.415926,-30.463928,,,1.000000,1.000000
2604.284956,31.415926,-31.415926,,,1.000000,1.000000
2604.289956,31.415926,-31.415926,,,1.000000,1.000000
2604.294959,31.396887,-31.396887,,,1.000000,1.000000
2604.299956,31.430206,-31.430206,,,1.000000,1.000000
2604.304956,31.415926,-31.415926,,,1.000000,1.000000
2604.309956,32.367924,-30.463928,,,1.000000,1.000000
2604.314956,31.415926,-31.415926,,,1.000000,1.000000
2604.319956,31.415926,-31.415926,,,1.000000,1.000000
2604.324956,31.415926,-31.415926,,,1.000000,1.000000
2604.329956,31.415926,-31.415926,,,1.000000,1.000000
2604.334956,31.415926,-31.415926,,,1.000000,1.000000
2604.339956,32.367924,-31.415926,,,1.000000,1.000000
2604.344956,30.463928,-30.463928,,,1.000000,1.000000
2604.349956,32.367924,-32.367924,,,1.000000,1.000000
2604.354956,32.367924,-31.415926,,,1.000000,1.000000
2604.359956,30.463928,-30.463928,,,1.000000,1.000000
2604.364956,31.415926,-31.415926,,,1.000000,1.000000
2604.369956,31.415926,-31.415926,,,1.000000,1.000000
2604.374956,32.367924,-31.415926,,,1.000000,1.000000
2604.379956,31.415926,-31.415926,,,1.000000,1.000000
2604.384956,31.415926,-30.463928,,,1.000000,1.000000
2604.389956,31.415926,-31.415926,,,1.000000,1.000000
2604.394956,31.415926,-31.415926,,,1.000000,1.000000
2604.399957,32.358406,-31.406406,,,1.000000,1.000000
2604.404968,35.142998,-35.142998,,,1.000000,1.000000
2604.409958,27.660295,-27.660295,,,1.000000,1.000000
2604.414964,35.181076,-34.229080,,,1.000000,1.000000
2604.419960,29.530972,-29.530972,,,1.000000,1.000000
2604.424979,32.244164,-32.244164,,,1.000000,1.000000
